"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Rhode Island : subbituminous coal","dollars per tons","ELEC.COST.SUB-RI-99.A","--","--","--","--","--","--","W","W","W","W","W","W"
"Rhode Island : lignite coal","dollars per tons","ELEC.COST.LIG-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : petroleum liquids","dollars per barrels","ELEC.COST.PEL-RI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Rhode Island : petroleum coke","dollars per tons","ELEC.COST.PC-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : natural gas","dollars per mcf","ELEC.COST.NG-RI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Vermont",,"ELEC.COST..A",,,,,,,,,,,,
"Vermont : coal","dollars per tons","ELEC.COST.COW-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : bituminous coal","dollars per tons","ELEC.COST.BIT-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : subbituminous coal","dollars per tons","ELEC.COST.SUB-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : lignite coal","dollars per tons","ELEC.COST.LIG-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","dollars per barrels","ELEC.COST.PEL-VT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Vermont : petroleum coke","dollars per tons","ELEC.COST.PC-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : natural gas","dollars per mcf","ELEC.COST.NG-VT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic",,"ELEC.COST..A",,,,,,,,,,,,
"Middle Atlantic : coal","dollars per tons","ELEC.COST.COW-MAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic : bituminous coal","dollars per tons","ELEC.COST.BIT-MAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic : subbituminous coal","dollars per tons","ELEC.COST.SUB-MAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic : lignite coal","dollars per tons","ELEC.COST.LIG-MAT-99.A","W","--","--","--","--","--","--","--","--","--","--","--"
"Middle Atlantic : petroleum liquids","dollars per barrels","ELEC.COST.PEL-MAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic : petroleum coke","dollars per tons","ELEC.COST.PC-MAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic : natural gas","dollars per mcf","ELEC.COST.NG-MAT-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New Jersey",,"ELEC.COST..A",,,,,,,,,,,,
"New Jersey : coal","dollars per tons","ELEC.COST.COW-NJ-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New Jersey : bituminous coal","dollars per tons","ELEC.COST.BIT-NJ-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New Jersey : subbituminous coal","dollars per tons","ELEC.COST.SUB-NJ-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New Jersey : lignite coal","dollars per tons","ELEC.COST.LIG-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey : petroleum liquids","dollars per barrels","ELEC.COST.PEL-NJ-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New Jersey : petroleum coke","dollars per tons","ELEC.COST.PC-NJ-99.A","--","--","--","W","W","W","W","W","W","W","W","W"
"New Jersey : natural gas","dollars per mcf","ELEC.COST.NG-NJ-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New York",,"ELEC.COST..A",,,,,,,,,,,,
"New York : coal","dollars per tons","ELEC.COST.COW-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New York : bituminous coal","dollars per tons","ELEC.COST.BIT-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New York : subbituminous coal","dollars per tons","ELEC.COST.SUB-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New York : lignite coal","dollars per tons","ELEC.COST.LIG-NY-99.A","W","--","--","--","--","--","--","--","--","--","--","--"
"New York : petroleum liquids","dollars per barrels","ELEC.COST.PEL-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New York : petroleum coke","dollars per tons","ELEC.COST.PC-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"New York : natural gas","dollars per mcf","ELEC.COST.NG-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Pennsylvania",,"ELEC.COST..A",,,,,,,,,,,,
"Pennsylvania : coal","dollars per tons","ELEC.COST.COW-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Pennsylvania : bituminous coal","dollars per tons","ELEC.COST.BIT-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Pennsylvania : subbituminous coal","dollars per tons","ELEC.COST.SUB-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Pennsylvania : lignite coal","dollars per tons","ELEC.COST.LIG-PA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania : petroleum liquids","dollars per barrels","ELEC.COST.PEL-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
