"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"District Of Columbia : residential","number of customers","ELEC.CUSTOMERS.DC-RES.A",217144,221794,227549,229450,231550,235322,239355,247469,259392,267448,274613,282277
"District Of Columbia : commercial","number of customers","ELEC.CUSTOMERS.DC-COM.A",26703,26307,26449,26496,26547,26530,26463,25439,25923,26111,26336,26471
"District Of Columbia : industrial","number of customers","ELEC.CUSTOMERS.DC-IND.A",1,1,1,1,1,1,1,1,1,1,1,1
"District Of Columbia : transportation","number of customers","ELEC.CUSTOMERS.DC-TRA.A",1,1,1,1,1,1,1,1,3,3,3,3
"District Of Columbia : other","number of customers","ELEC.CUSTOMERS.DC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida","number of customers","ELEC.CUSTOMERS.FL-ALL.A",,,,,,,,,,,,
"Florida : all sectors","number of customers","ELEC.CUSTOMERS.FL-ALL.A",9629909,9639206,9674411,9732883,9823194,9950077,10090564,10166667,10370272,10529932,10673905,10830326
"Florida : residential","number of customers","ELEC.CUSTOMERS.FL-RES.A",8478407,8493590,8529202,8575892,8645205,8756316,8891018,8963967,9149213,9291705,9423019,9565845
"Florida : commercial","number of customers","ELEC.CUSTOMERS.FL-COM.A",1129095,1125135,1127137,1139654,1160572,1175894,1180767,1183240,1199895,1216936,1229556,1240900
"Florida : industrial","number of customers","ELEC.CUSTOMERS.FL-IND.A",22382,20456,18046,17334,17415,17865,18777,19458,21162,21289,21327,23579
"Florida : transportation","number of customers","ELEC.CUSTOMERS.FL-TRA.A",25,25,25,3,2,2,2,2,2,2,2,2
"Florida : other","number of customers","ELEC.CUSTOMERS.FL-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia","number of customers","ELEC.CUSTOMERS.GA-ALL.A",,,,,,,,,,,,
"Georgia : all sectors","number of customers","ELEC.CUSTOMERS.GA-ALL.A",4594197,4623206,4615784,4621058,4636420,4674671,4710055,4772843,4829626,4892944,4956554,5020633
"Georgia : residential","number of customers","ELEC.CUSTOMERS.GA-RES.A",4034759,4061860,4054134,4056148,4071476,4101344,4137055,4191206,4240421,4296976,4354020,4411521
"Georgia : commercial","number of customers","ELEC.CUSTOMERS.GA-COM.A",543485,545858,546005,548671,547610,554347,552699,560947,567426,572857,579467,585574
"Georgia : industrial","number of customers","ELEC.CUSTOMERS.GA-IND.A",15952,15487,15644,16238,17333,18979,20300,20688,21778,23110,23066,23538
"Georgia : transportation","number of customers","ELEC.CUSTOMERS.GA-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Georgia : other","number of customers","ELEC.CUSTOMERS.GA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland","number of customers","ELEC.CUSTOMERS.MD-ALL.A",,,,,,,,,,,,
"Maryland : all sectors","number of customers","ELEC.CUSTOMERS.MD-ALL.A",2428689,2439809,2453401,2461920,2468098,2474908,2492110,2513564,2548065,2574912,2595484,2617638
"Maryland : residential","number of customers","ELEC.CUSTOMERS.MD-RES.A",2178594,2188390,2200368,2208014,2212286,2218947,2234962,2255557,2288301,2313188,2332516,2352534
"Maryland : commercial","number of customers","ELEC.CUSTOMERS.MD-COM.A",241356,242640,244263,245002,246866,247168,248362,249180,250937,252965,254163,256165
"Maryland : industrial","number of customers","ELEC.CUSTOMERS.MD-IND.A",8734,8774,8765,8900,8941,8788,8780,8822,8822,8754,8801,8934
"Maryland : transportation","number of customers","ELEC.CUSTOMERS.MD-TRA.A",5,5,5,5,5,5,5,5,5,5,5,5
"Maryland : other","number of customers","ELEC.CUSTOMERS.MD-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina","number of customers","ELEC.CUSTOMERS.NC-ALL.A",,,,,,,,,,,,
"North Carolina : all sectors","number of customers","ELEC.CUSTOMERS.NC-ALL.A",4808355,4837857,4841160,4857431,4893382,4933032,4969667,5012175,5106193,5179045,5252111,5336316
"North Carolina : residential","number of customers","ELEC.CUSTOMERS.NC-RES.A",4147625,4175831,4185534,4201897,4230585,4268014,4303474,4336694,4423529,4488036,4550417,4620856
"North Carolina : commercial","number of customers","ELEC.CUSTOMERS.NC-COM.A",649757,650651,644606,644925,652399,654741,655838,665193,672608,680963,691668,705588
"North Carolina : industrial","number of customers","ELEC.CUSTOMERS.NC-IND.A",10972,11374,11012,10608,10397,10275,10354,10286,10055,10045,10026,9871
"North Carolina : transportation","number of customers","ELEC.CUSTOMERS.NC-TRA.A",1,1,8,1,1,1,1,1,1,1,1,1
"North Carolina : other","number of customers","ELEC.CUSTOMERS.NC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina","number of customers","ELEC.CUSTOMERS.SC-ALL.A",,,,,,,,,,,,
"South Carolina : all sectors","number of customers","ELEC.CUSTOMERS.SC-ALL.A",2415476,2431727,2434137,2446233,2460296,2485932,2511080,2547978,2583254,2629005,2671368,2719888
"South Carolina : residential","number of customers","ELEC.CUSTOMERS.SC-RES.A",2068600,2083431,2089299,2101584,2113144,2135430,2157087,2185966,2209780,2251556,2290200,2330901
"South Carolina : commercial","number of customers","ELEC.CUSTOMERS.SC-COM.A",342181,343795,340363,340192,342761,346023,349431,357722,369408,373069,376843,385285
"South Carolina : industrial","number of customers","ELEC.CUSTOMERS.SC-IND.A",4695,4501,4475,4457,4392,4478,4561,4290,4065,4380,4325,3702
"South Carolina : transportation","number of customers","ELEC.CUSTOMERS.SC-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"South Carolina : other","number of customers","ELEC.CUSTOMERS.SC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia","number of customers","ELEC.CUSTOMERS.VA-ALL.A",,,,,,,,,,,,
"Virginia : all sectors","number of customers","ELEC.CUSTOMERS.VA-ALL.A",3578881,3601856,3684291,3643615,3671543,3699796,3730258,3764165,3797570,3824477,3866337,3902574
"Virginia : residential","number of customers","ELEC.CUSTOMERS.VA-RES.A",3169283,3189115,3258964,3225396,3248516,3273501,3303675,3332082,3362985,3398529,3431575,3464676
"Virginia : commercial","number of customers","ELEC.CUSTOMERS.VA-COM.A",404313,407457,419948,414136,419052,422710,422929,428369,430876,422253,431057,434174
"Virginia : industrial","number of customers","ELEC.CUSTOMERS.VA-IND.A",5284,5283,5378,4081,3974,3584,3653,3714,3708,3694,3704,3723
"Virginia : transportation","number of customers","ELEC.CUSTOMERS.VA-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Virginia : other","number of customers","ELEC.CUSTOMERS.VA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia","number of customers","ELEC.CUSTOMERS.WV-ALL.A",,,,,,,,,,,,
"West Virginia : all sectors","number of customers","ELEC.CUSTOMERS.WV-ALL.A",1011420,1014508,1017503,1018447,1016834,1015472,1015710,1014962,1014791,1014440,1015030,1014452
"West Virginia : residential","number of customers","ELEC.CUSTOMERS.WV-RES.A",863650,865647,867947,868037,865674,863641,862867,861332,860375,858961,859039,857666
"West Virginia : commercial","number of customers","ELEC.CUSTOMERS.WV-COM.A",135754,136653,137208,137964,138688,139515,140697,141680,142711,143950,144476,145224
"West Virginia : industrial","number of customers","ELEC.CUSTOMERS.WV-IND.A",12015,12207,12347,12446,12471,12314,12146,11949,11706,11530,11515,11562
"West Virginia : transportation","number of customers","ELEC.CUSTOMERS.WV-TRA.A",1,1,1,1,1,1,0,0,0,0,0,0
"West Virginia : other","number of customers","ELEC.CUSTOMERS.WV-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"East South Central","number of customers","ELEC.CUSTOMERS.ESC-ALL.A",,,,,,,,,,,,
"East South Central : all sectors","number of customers","ELEC.CUSTOMERS.ESC-ALL.A",9339735,9344492,9385015,9394425,9425994,9469841,9516878,9580013,9657616,9738237,9813971,9888430
"East South Central : residential","number of customers","ELEC.CUSTOMERS.ESC-RES.A",7962784,7989972,8023766,8030913,8053109,8093568,8129783,8183137,8248667,8316856,8382939,8448897
"East South Central : commercial","number of customers","ELEC.CUSTOMERS.ESC-COM.A",1351892,1329021,1338253,1340645,1349505,1353706,1360293,1370124,1381965,1394000,1404941,1414747
"East South Central : industrial","number of customers","ELEC.CUSTOMERS.ESC-IND.A",25059,25497,22995,22867,23380,22566,26802,26752,26984,27381,26091,24787
"East South Central : transportation","number of customers","ELEC.CUSTOMERS.ESC-TRA.A",1,1,1,1,1,1,1,0,0,0,0,0
"East South Central : other","number of customers","ELEC.CUSTOMERS.ESC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama","number of customers","ELEC.CUSTOMERS.AL-ALL.A",,,,,,,,,,,,
"Alabama : all sectors","number of customers","ELEC.CUSTOMERS.AL-ALL.A",2491147,2491143,2502109,2505192,2515540,2524633,2537922,2552739,2574851,2591621,2607909,2626467
"Alabama : residential","number of customers","ELEC.CUSTOMERS.AL-RES.A",2110865,2128008,2138905,2142627,2150975,2158895,2169785,2182614,2200574,2213590,2229470,2249426
"Alabama : commercial","number of customers","ELEC.CUSTOMERS.AL-COM.A",371020,353884,356294,356074,357399,358712,360903,362870,367009,369982,371096,369798
"Alabama : industrial","number of customers","ELEC.CUSTOMERS.AL-IND.A",9263,9251,6910,6491,7166,7026,7234,7255,7268,8050,7343,7244
"Alabama : transportation","number of customers","ELEC.CUSTOMERS.AL-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Alabama : other","number of customers","ELEC.CUSTOMERS.AL-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky","number of customers","ELEC.CUSTOMERS.KY-ALL.A",,,,,,,,,,,,
"Kentucky : all sectors","number of customers","ELEC.CUSTOMERS.KY-ALL.A",2230453,2226166,2234978,2230402,2229988,2239533,2244043,2253920,2266534,2282465,2292366,2307114
"Kentucky : residential","number of customers","ELEC.CUSTOMERS.KY-RES.A",1928083,1924886,1930664,1928527,1924644,1935241,1939486,1947068,1957189,1971000,1980206,1991139
"Kentucky : commercial","number of customers","ELEC.CUSTOMERS.KY-COM.A",296068,294224,297047,294447,298211,297108,297181,299460,302039,304455,305410,309828
"Kentucky : industrial","number of customers","ELEC.CUSTOMERS.KY-IND.A",6302,7057,7267,7428,7133,7184,7376,7392,7306,7009,6749,6147
"Kentucky : transportation","number of customers","ELEC.CUSTOMERS.KY-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Kentucky : other","number of customers","ELEC.CUSTOMERS.KY-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi","number of customers","ELEC.CUSTOMERS.MS-ALL.A",,,,,,,,,,,,
"Mississippi : all sectors","number of customers","ELEC.CUSTOMERS.MS-ALL.A",1470201,1473271,1481453,1484705,1490900,1496561,1504916,1512645,1522717,1530976,1538138,1541421
"Mississippi : residential","number of customers","ELEC.CUSTOMERS.MS-RES.A",1238413,1243261,1250147,1251639,1256392,1260890,1263581,1270398,1278616,1284576,1290280,1293417
"Mississippi : commercial","number of customers","ELEC.CUSTOMERS.MS-COM.A",224388,222859,224514,226134,227384,228506,230415,231387,232885,235243,236870,237625
"Mississippi : industrial","number of customers","ELEC.CUSTOMERS.MS-IND.A",7400,7150,6792,6932,7125,7164,10920,10860,11216,11158,10988,10379
"Mississippi : transportation","number of customers","ELEC.CUSTOMERS.MS-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Mississippi : other","number of customers","ELEC.CUSTOMERS.MS-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee","number of customers","ELEC.CUSTOMERS.TN-ALL.A",,,,,,,,,,,,
"Tennessee : all sectors","number of customers","ELEC.CUSTOMERS.TN-ALL.A",3147935,3153912,3166476,3174127,3189566,3209114,3229997,3260709,3293515,3333176,3375559,3413428
"Tennessee : residential","number of customers","ELEC.CUSTOMERS.TN-RES.A",2685423,2693818,2704051,2708120,2721098,2738542,2756931,2783057,2812289,2847691,2882983,2914916
"Tennessee : commercial","number of customers","ELEC.CUSTOMERS.TN-COM.A",460417,458054,460398,463990,466511,469380,471794,476407,480032,484320,491565,497496
"Tennessee : industrial","number of customers","ELEC.CUSTOMERS.TN-IND.A",2093,2039,2026,2016,1956,1191,1271,1245,1194,1165,1011,1016
"Tennessee : transportation","number of customers","ELEC.CUSTOMERS.TN-TRA.A",1,1,1,1,1,1,1,0,0,0,0,0
"Tennessee : other","number of customers","ELEC.CUSTOMERS.TN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West South Central","number of customers","ELEC.CUSTOMERS.WSC-ALL.A",,,,,,,,,,,,
"West South Central : all sectors","number of customers","ELEC.CUSTOMERS.WSC-ALL.A",16678502,16750616,16864651,16849987,17056493,17269516,17586919,17811527,18072656,18482399,18950995,19259458
"West South Central : residential","number of customers","ELEC.CUSTOMERS.WSC-RES.A",14323682,14397676,14493417,14596162,14809209,14998157,15220446,15442353,15687118,16014289,16387173,16636125
"West South Central : commercial","number of customers","ELEC.CUSTOMERS.WSC-COM.A",2124005,2148654,2174723,2085697,2084596,2103289,2191364,2189030,2205214,2279251,2363251,2316759
"West South Central : industrial","number of customers","ELEC.CUSTOMERS.WSC-IND.A",230748,204258,196483,168122,162683,168065,175104,180138,180318,188852,200565,306567
"West South Central : transportation","number of customers","ELEC.CUSTOMERS.WSC-TRA.A",67,28,28,5,5,6,6,6,6,6,6,6
"West South Central : other","number of customers","ELEC.CUSTOMERS.WSC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas","number of customers","ELEC.CUSTOMERS.AR-ALL.A",,,,,,,,,,,,
"Arkansas : all sectors","number of customers","ELEC.CUSTOMERS.AR-ALL.A",1516551,1524432,1534202,1541338,1547902,1557321,1566533,1580231,1595478,1607633,1621441,1630595
"Arkansas : residential","number of customers","ELEC.CUSTOMERS.AR-RES.A",1308812,1315040,1322833,1328285,1332153,1339679,1345007,1356658,1368867,1380155,1388359,1396869
"Arkansas : commercial","number of customers","ELEC.CUSTOMERS.AR-COM.A",176047,177635,178962,180291,181821,182940,185841,187705,190179,191879,196482,198859
"Arkansas : industrial","number of customers","ELEC.CUSTOMERS.AR-IND.A",31691,31756,32406,32760,33925,34699,35683,35867,36431,35597,36597,34865
"Arkansas : transportation","number of customers","ELEC.CUSTOMERS.AR-TRA.A",2,2,2,2,2,2,2,2,2,2,2,2
"Arkansas : other","number of customers","ELEC.CUSTOMERS.AR-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana","number of customers","ELEC.CUSTOMERS.LA-ALL.A",,,,,,,,,,,,
"Louisiana : all sectors","number of customers","ELEC.CUSTOMERS.LA-ALL.A",2205676,2234722,2265498,2274269,2293414,2311895,2343559,2361577,2368709,2384626,2397363,2409991
"Louisiana : residential","number of customers","ELEC.CUSTOMERS.LA-RES.A",1920085,1946997,1973172,1979175,1995660,2011042,2026221,2043759,2059701,2073613,2085054,2095466
"Louisiana : commercial","number of customers","ELEC.CUSTOMERS.LA-COM.A",265256,269167,274176,277004,279613,281834,297785,298169,289777,291402,292750,295153
"Louisiana : industrial","number of customers","ELEC.CUSTOMERS.LA-IND.A",20311,18534,18127,18089,18141,19018,19552,19647,19231,19610,19558,19372
"Louisiana : transportation","number of customers","ELEC.CUSTOMERS.LA-TRA.A",23,24,23,1,1,1,1,1,1,1,1,1
"Louisiana : other","number of customers","ELEC.CUSTOMERS.LA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma","number of customers","ELEC.CUSTOMERS.OK-ALL.A",,,,,,,,,,,,
"Oklahoma : all sectors","number of customers","ELEC.CUSTOMERS.OK-ALL.A",1915328,1927536,1940920,1950242,1965549,1983311,2003856,2020007,2033941,2051080,2066552,2082701
"Oklahoma : residential","number of customers","ELEC.CUSTOMERS.OK-RES.A",1633272,1643674,1660646,1667223,1679294,1693145,1710347,1723937,1736820,1751033,1764979,1777155
"Oklahoma : commercial","number of customers","ELEC.CUSTOMERS.OK-COM.A",264430,266110,261927,264777,268013,271696,275275,277383,278023,281264,282873,285641
"Oklahoma : industrial","number of customers","ELEC.CUSTOMERS.OK-IND.A",17626,17752,18347,18242,18241,18470,18235,18687,19099,18783,18700,19905
"Oklahoma : transportation","number of customers","ELEC.CUSTOMERS.OK-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Oklahoma : other","number of customers","ELEC.CUSTOMERS.OK-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas","number of customers","ELEC.CUSTOMERS.TX-ALL.A",,,,,,,,,,,,
"Texas : all sectors","number of customers","ELEC.CUSTOMERS.TX-ALL.A",11040948,11063926,11124032,11084138,11249628,11416989,11672971,11849712,12074528,12439059,12865639,13136170
"Texas : residential","number of customers","ELEC.CUSTOMERS.TX-RES.A",9461513,9491966,9536767,9621480,9802102,9954290,10138871,10317999,10521731,10809488,11148781,11366635
"Texas : commercial","number of customers","ELEC.CUSTOMERS.TX-COM.A",1418273,1435743,1459659,1363625,1355149,1366818,1432463,1425773,1447236,1514707,1591146,1537107
"Texas : industrial","number of customers","ELEC.CUSTOMERS.TX-IND.A",161120,136216,127603,99031,92375,95877,101635,105937,105558,114862,125709,232425
"Texas : transportation","number of customers","ELEC.CUSTOMERS.TX-TRA.A",42,2,3,2,2,3,3,3,3,3,3,3
"Texas : other","number of customers","ELEC.CUSTOMERS.TX-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Mountain","number of customers","ELEC.CUSTOMERS.MTN-ALL.A",,,,,,,,,,,,
"Mountain : all sectors","number of customers","ELEC.CUSTOMERS.MTN-ALL.A",10290388,10268043,10329260,10399440,10463225,10598159,10727503,10862141,11008382,11256185,11335956,11522155
"Mountain : residential","number of customers","ELEC.CUSTOMERS.MTN-RES.A",8891838,8869127,8921682,8983636,9048784,9162913,9277059,9395145,9529172,9761417,9825500,9994344
"Mountain : commercial","number of customers","ELEC.CUSTOMERS.MTN-COM.A",1318574,1316081,1324979,1330473,1326323,1343698,1353997,1372609,1383965,1399009,1414943,1431387
"Mountain : industrial","number of customers","ELEC.CUSTOMERS.MTN-IND.A",79951,82809,82570,85328,88114,91544,96445,94382,95240,95754,95507,96420
"Mountain : transportation","number of customers","ELEC.CUSTOMERS.MTN-TRA.A",26,27,29,3,3,3,3,4,5,5,5,5
"Mountain : other","number of customers","ELEC.CUSTOMERS.MTN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona","number of customers","ELEC.CUSTOMERS.AZ-ALL.A",,,,,,,,,,,,
"Arizona : all sectors","number of customers","ELEC.CUSTOMERS.AZ-ALL.A",2834064,2851114,2861857,2888134,2898624,2947070,2981620,3011739,3051838,3093045,3138275,3187274
"Arizona : residential","number of customers","ELEC.CUSTOMERS.AZ-RES.A",2528403,2544382,2554212,2575586,2585636,2630594,2661692,2689225,2725508,2764355,2808351,2853182
"Arizona : commercial","number of customers","ELEC.CUSTOMERS.AZ-COM.A",298347,299528,300503,305338,305248,308857,312220,314755,318197,320557,322133,326191
"Arizona : industrial","number of customers","ELEC.CUSTOMERS.AZ-IND.A",7314,7203,7142,7210,7740,7618,7708,7757,8131,8132,7790,7899
"Arizona : transportation","number of customers","ELEC.CUSTOMERS.AZ-TRA.A",0,0,0,0,0,0,0,1,2,2,2,2
"Arizona : other","number of customers","ELEC.CUSTOMERS.AZ-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado","number of customers","ELEC.CUSTOMERS.CO-ALL.A",,,,,,,,,,,,
"Colorado : all sectors","number of customers","ELEC.CUSTOMERS.CO-ALL.A",2546526,2475806,2493632,2506104,2514401,2544333,2572988,2607514,2643311,2675272,2719057,2765156
"Colorado : residential","number of customers","ELEC.CUSTOMERS.CO-RES.A",2173457,2111621,2128503,2141778,2149635,2169365,2193519,2225723,2260068,2288355,2326974,2370162
"Colorado : commercial","number of customers","ELEC.CUSTOMERS.CO-COM.A",359897,349267,350068,347899,348749,358797,360235,365562,366998,370688,376101,380607
"Colorado : industrial","number of customers","ELEC.CUSTOMERS.CO-IND.A",13171,14917,15060,16426,16015,16171,19232,16228,16244,16228,15981,14386
"Colorado : transportation","number of customers","ELEC.CUSTOMERS.CO-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Colorado : other","number of customers","ELEC.CUSTOMERS.CO-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho","number of customers","ELEC.CUSTOMERS.ID-ALL.A",,,,,,,,,,,,
"Idaho : all sectors","number of customers","ELEC.CUSTOMERS.ID-ALL.A",779759,786554,792031,794924,802207,811174,821866,835431,849763,864671,882774,904470
"Idaho : residential","number of customers","ELEC.CUSTOMERS.ID-RES.A",654546,659775,664716,667242,673366,680929,690276,701448,714364,727567,743564,763842
"Idaho : commercial","number of customers","ELEC.CUSTOMERS.ID-COM.A",99003,100209,101267,101424,102318,103399,104462,106452,107551,108965,110794,112136
"Idaho : industrial","number of customers","ELEC.CUSTOMERS.ID-IND.A",26211,26570,26047,26259,26523,26847,27128,27531,27848,28139,28416,28492
"Idaho : transportation","number of customers","ELEC.CUSTOMERS.ID-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Idaho : other","number of customers","ELEC.CUSTOMERS.ID-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana","number of customers","ELEC.CUSTOMERS.MT-ALL.A",,,,,,,,,,,,
"Montana : all sectors","number of customers","ELEC.CUSTOMERS.MT-ALL.A",566848,571882,574223,577349,581829,587168,597766,605453,612919,620349,628134,636796
"Montana : residential","number of customers","ELEC.CUSTOMERS.MT-RES.A",461598,466160,467878,469961,473032,477261,485038,491421,497171,503309,509527,516052
"Montana : commercial","number of customers","ELEC.CUSTOMERS.MT-COM.A",100372,100498,101128,101509,101529,101216,103131,104324,105935,107148,108694,109460
"Montana : industrial","number of customers","ELEC.CUSTOMERS.MT-IND.A",4877,5224,5218,5878,7268,8692,9597,9708,9813,9892,9913,11284
"Montana : transportation","number of customers","ELEC.CUSTOMERS.MT-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Montana : other","number of customers","ELEC.CUSTOMERS.MT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada","number of customers","ELEC.CUSTOMERS.NV-ALL.A",,,,,,,,,,,,
"Nevada : all sectors","number of customers","ELEC.CUSTOMERS.NV-ALL.A",1211050,1212212,1216473,1226845,1240254,1256907,1272206,1290391,1308914,1429904,1352087,1375888
"Nevada : residential","number of customers","ELEC.CUSTOMERS.NV-RES.A",1054690,1054926,1058518,1067943,1080581,1094769,1110533,1126219,1143668,1263100,1183659,1204995
"Nevada : commercial","number of customers","ELEC.CUSTOMERS.NV-COM.A",152735,153622,154455,155395,155925,158356,157984,160490,161591,163355,164983,167627
"Nevada : industrial","number of customers","ELEC.CUSTOMERS.NV-IND.A",3608,3646,3483,3505,3748,3782,3689,3681,3654,3448,3445,3265
"Nevada : transportation","number of customers","ELEC.CUSTOMERS.NV-TRA.A",17,17,18,1,1,1,1,1,1,1,1,1
"Nevada : other","number of customers","ELEC.CUSTOMERS.NV-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico","number of customers","ELEC.CUSTOMERS.NM-ALL.A",,,,,,,,,,,,
"New Mexico : all sectors","number of customers","ELEC.CUSTOMERS.NM-ALL.A",981568,987403,996641,1000409,1004935,1012670,1018858,1022421,1027966,1033586,1043071,1049503
"New Mexico : residential","number of customers","ELEC.CUSTOMERS.NM-RES.A",841330,844864,853808,856128,859281,865195,869874,871044,876920,880867,889838,895087
"New Mexico : commercial","number of customers","ELEC.CUSTOMERS.NM-COM.A",133782,135703,135576,136677,137413,138800,139873,142030,141722,143324,143873,144960
"New Mexico : industrial","number of customers","ELEC.CUSTOMERS.NM-IND.A",6456,6835,7258,7604,8241,8675,9111,9347,9324,9395,9359,9456
"New Mexico : transportation","number of customers","ELEC.CUSTOMERS.NM-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"New Mexico : other","number of customers","ELEC.CUSTOMERS.NM-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah","number of customers","ELEC.CUSTOMERS.UT-ALL.A",,,,,,,,,,,,
"Utah : all sectors","number of customers","ELEC.CUSTOMERS.UT-ALL.A",1049411,1059410,1068380,1078212,1091353,1107082,1127985,1152721,1175933,1199991,1230874,1258572
"Utah : residential","number of customers","ELEC.CUSTOMERS.UT-RES.A",924828,932015,936600,946470,966061,981193,1000410,1021839,1041826,1063289,1091159,1116145
"Utah : commercial","number of customers","ELEC.CUSTOMERS.UT-COM.A",115149,117907,122340,122363,115875,116261,117918,121310,124537,127109,130049,132082
"Utah : industrial","number of customers","ELEC.CUSTOMERS.UT-IND.A",9426,9479,9430,9378,9417,9628,9656,9571,9569,9592,9664,10344
"Utah : transportation","number of customers","ELEC.CUSTOMERS.UT-TRA.A",8,9,10,1,1,1,1,1,1,1,1,1
"Utah : other","number of customers","ELEC.CUSTOMERS.UT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming","number of customers","ELEC.CUSTOMERS.WY-ALL.A",,,,,,,,,,,,
"Wyoming : all sectors","number of customers","ELEC.CUSTOMERS.WY-ALL.A",321162,323663,326022,327464,329621,331754,334216,336472,337738,339366,341684,344498
"Wyoming : residential","number of customers","ELEC.CUSTOMERS.WY-RES.A",252987,255382,257448,258528,261191,263609,265717,268226,269647,270575,272429,274880
"Wyoming : commercial","number of customers","ELEC.CUSTOMERS.WY-COM.A",59288,59346,59642,59869,59267,58013,58174,57686,57434,57862,58316,58324
"Wyoming : industrial","number of customers","ELEC.CUSTOMERS.WY-IND.A",8887,8935,8932,9067,9163,10132,10324,10560,10657,10928,10939,11294
"Wyoming : transportation","number of customers","ELEC.CUSTOMERS.WY-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Wyoming : other","number of customers","ELEC.CUSTOMERS.WY-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Contiguous","number of customers","ELEC.CUSTOMERS.PCC-ALL.A",,,,,,,,,,,,
"Pacific Contiguous : all sectors","number of customers","ELEC.CUSTOMERS.PCC-ALL.A",19865262,19860615,19934517,20009746,20150481,20285591,20298764,20495797,20631631,20822750,20956201,21144998
"Pacific Contiguous : residential","number of customers","ELEC.CUSTOMERS.PCC-RES.A",17347500,17343542,17402266,17474152,17597082,17787227,17832889,18013415,18137552,18311848,18418256,18597100
"Pacific Contiguous : commercial","number of customers","ELEC.CUSTOMERS.PCC-COM.A",2391476,2389166,2406407,2411129,2428584,2287662,2265246,2279889,2291867,2310920,2337180,2348229
"Pacific Contiguous : industrial","number of customers","ELEC.CUSTOMERS.PCC-IND.A",125749,127352,125767,124442,124793,210680,200606,202471,202189,199959,200745,199650
"Pacific Contiguous : transportation","number of customers","ELEC.CUSTOMERS.PCC-TRA.A",537,554,77,23,22,23,23,21,23,23,20,19
"Pacific Contiguous : other","number of customers","ELEC.CUSTOMERS.PCC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"California","number of customers","ELEC.CUSTOMERS.CA-ALL.A",,,,,,,,,,,,
"California : all sectors","number of customers","ELEC.CUSTOMERS.CA-ALL.A",14826790,14789505,14837717,14894334,15010476,15107543,15079224,15214447,15286018,15392132,15454675,15573394
"California : residential","number of customers","ELEC.CUSTOMERS.CA-RES.A",12941717,12910854,12947913,13002978,13101882,13256422,13256067,13380682,13445133,13548293,13591149,13707126
"California : commercial","number of customers","ELEC.CUSTOMERS.CA-COM.A",1807260,1801935,1814631,1818046,1834778,1691626,1676201,1685684,1692323,1696068,1714872,1718599
"California : industrial","number of customers","ELEC.CUSTOMERS.CA-IND.A",77326,76222,75160,73297,73804,159482,146943,148068,148547,147756,148642,147658
