"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Rhode Island : commercial","number of customers","ELEC.CUSTOMERS.RI-COM.A",55906,56385,56664,57408,57824,58318,58346,58903,58907,59447,60127,60671
"Rhode Island : industrial","number of customers","ELEC.CUSTOMERS.RI-IND.A",2048,2014,1975,1958,1927,1913,1884,1852,1821,1783,1773,1758
"Rhode Island : transportation","number of customers","ELEC.CUSTOMERS.RI-TRA.A",0,0,1,1,1,1,1,1,1,1,1,1
"Rhode Island : other","number of customers","ELEC.CUSTOMERS.RI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont","number of customers","ELEC.CUSTOMERS.VT-ALL.A",,,,,,,,,,,,
"Vermont : all sectors","number of customers","ELEC.CUSTOMERS.VT-ALL.A",356130,357222,358672,360008,360456,363264,363608,365900,368070,370244,372378,374743
"Vermont : residential","number of customers","ELEC.CUSTOMERS.VT-RES.A",306174,306918,307837,308993,309019,311306,310932,312059,312239,313669,315137,316182
"Vermont : commercial","number of customers","ELEC.CUSTOMERS.VT-COM.A",49642,50079,50616,50795,51217,51734,52453,53610,55602,56388,57036,58320
"Vermont : industrial","number of customers","ELEC.CUSTOMERS.VT-IND.A",314,225,220,221,221,224,224,231,230,187,205,242
"Vermont : transportation","number of customers","ELEC.CUSTOMERS.VT-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Vermont : other","number of customers","ELEC.CUSTOMERS.VT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Middle Atlantic","number of customers","ELEC.CUSTOMERS.MAT-ALL.A",,,,,,,,,,,,
"Middle Atlantic : all sectors","number of customers","ELEC.CUSTOMERS.MAT-ALL.A",17766119,17822245,17898386,17943200,17989227,18018629,18098771,18174942,18291114,18384440,18524901,18646185
"Middle Atlantic : residential","number of customers","ELEC.CUSTOMERS.MAT-RES.A",15538588,15582577,15654019,15694787,15727421,15761820,15806913,15872478,15964598,16037190,16149373,16251105
"Middle Atlantic : commercial","number of customers","ELEC.CUSTOMERS.MAT-COM.A",2177780,2190396,2195704,2202403,2215950,2211865,2247443,2258897,2283550,2305736,2345010,2361888
"Middle Atlantic : industrial","number of customers","ELEC.CUSTOMERS.MAT-IND.A",49706,49226,48618,45980,45830,44929,44398,43548,42947,41494,30498,33173
"Middle Atlantic : transportation","number of customers","ELEC.CUSTOMERS.MAT-TRA.A",44,45,45,30,26,15,17,19,20,20,20,21
"Middle Atlantic : other","number of customers","ELEC.CUSTOMERS.MAT-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey","number of customers","ELEC.CUSTOMERS.NJ-ALL.A",,,,,,,,,,,,
"New Jersey : all sectors","number of customers","ELEC.CUSTOMERS.NJ-ALL.A",3892543,3920452,3946489,3951707,3957979,3955586,3994526,4014197,4036653,4065270,4101354,4132416
