"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Nebraska",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Nebraska : coal","thousand tons","ELEC.RECEIPTS.COW-NE-99.A",14663,14349,15192,15620,15368,15761,16153,15326,13652,13654,13527,13430
"Nebraska : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NE-99.A",12,12,0,"--","--",0,0,0,0,0,0,0
"Nebraska : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NE-99.A",14651,14337,15192,15620,15368,15761,16153,15326,13652,13654,13527,13430
"Nebraska : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NE-99.A",88,81,55,63,29,35,36,3,4,5,9,19
"Nebraska : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NE-99.A",7266,3353,4873,5311,8141,3764,3383,3510,4333,6035,9068,11470
"North Dakota",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"North Dakota : coal","thousand tons","ELEC.RECEIPTS.COW-ND-99.A",25163,25148,23973,23445,22708,22665,23671,23877,22386,23540,24023,21882
"North Dakota : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-ND-99.A","--","--",0,"--","--","--","--","--","--","--","--","--"
"North Dakota : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-ND-99.A",1336,1287,1307,1325,1063,693,843,850,567,172,0,0
"North Dakota : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-ND-99.A",23827,23861,22666,22120,21645,21971,22828,23027,21819,23368,24023,21882
"North Dakota : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-ND-99.A",168,134,104,109,63,78,58,46,61,69,77,71
"North Dakota : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : natural gas","thousand mcf","ELEC.RECEIPTS.NG-ND-99.A","NM",959,988,1117,1,1,48,520,11320,7226,9873,14877
"South Dakota",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"South Dakota : coal","thousand tons","ELEC.RECEIPTS.COW-SD-99.A",2257,2189,2203,1795,1813,1788,1776,1101,1333,1379,1560,1778
"South Dakota : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-SD-99.A",2257,2189,2203,1795,1813,1788,1776,1101,1333,1379,1560,1778
"South Dakota : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-SD-99.A",69,"NM","NM",19,5,10,6,30,4,5,11,13
"South Dakota : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : natural gas","thousand mcf","ELEC.RECEIPTS.NG-SD-99.A",2568,922,1600,1590,1642,3742,3020,5444,5804,4765,7291,7131
"South Atlantic",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"South Atlantic : coal","thousand tons","ELEC.RECEIPTS.COW-SAT-99.A",183337,164233,156059,148091,118709,111898,123112,111710,95606,88271,79146,76973
"South Atlantic : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-SAT-99.A",164524,148125,141526,132519,105134,96665,109654,99249,85304,77744,69218,66998
"South Atlantic : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-SAT-99.A",17585,15117,13797,14690,12613,12449,12553,11577,9459,9557,8927,9047
"South Atlantic : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-SAT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Atlantic : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-SAT-99.A","NM",16807,16052,9843,3217,2675,5656,5045,3717,3222,5402,1699
"South Atlantic : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-SAT-99.A",1986,1741,1889,1448,741,1235,1076,1125,1441,663,784,429
"South Atlantic : natural gas","thousand mcf","ELEC.RECEIPTS.NG-SAT-99.A",1128275,1343453,1565538,1706965,2020211,1846076,1848980,2253356,2396562,2370929,2622122,2775146
"Delaware",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Delaware : coal","thousand tons","ELEC.RECEIPTS.COW-DE-99.A",2363,1564,832,562,645,614,534,152,243,200,35,71
"Delaware : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-DE-99.A",2318,1564,832,562,645,614,534,152,243,200,35,71
"Delaware : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-DE-99.A",45,0,0,0,0,0,0,0,0,0,0,0
"Delaware : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-DE-99.A",457,634,64,106,34,22,26,199,79,19,331,7
"Delaware : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-DE-99.A",0,"--",0,0,0,0,0,0,0,0,0,0
"Delaware : natural gas","thousand mcf","ELEC.RECEIPTS.NG-DE-99.A",12981,12401,24377,49063,65059,55626,53844,54963,63408,42418,33332,25354
"District Of Columbia",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"District Of Columbia : coal","thousand tons","ELEC.RECEIPTS.COW-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-DC-99.A",166,53,443,215,7,0,0,0,0,0,0,0
"District Of Columbia : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : natural gas","thousand mcf","ELEC.RECEIPTS.NG-DC-99.A","--","--","--",1012,0,0,0,0,0,0,0,0
"Florida",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Florida : coal","thousand tons","ELEC.RECEIPTS.COW-FL-99.A",29016,23912,26343,22722,18400,19754,22159,19159,15033,15139,11702,9218
"Florida : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-FL-99.A",28952,23912,26343,22722,18400,19742,22083,19159,15033,15139,11702,9218
"Florida : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-FL-99.A",64,"--",0,0,0,12,77,0,0,0,0,0
"Florida : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-FL-99.A",14234,10474,10609,5266,948,865,567,652,916,1447,495,423
"Florida : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-FL-99.A",1610,1440,1621,1119,563,1103,944,1003,1324,663,784,429
"Florida : natural gas","thousand mcf","ELEC.RECEIPTS.NG-FL-99.A",816252,935903,1008943,1069608,1122939,1008097,1015834,1124717,1153072,1153819,1229395,1289171
"Georgia",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Georgia : coal","thousand tons","ELEC.RECEIPTS.COW-GA-99.A",39683,35365,31710,31251,23258,19015,20524,20219,17397,16943,14953,15353
"Georgia : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-GA-99.A",25070,21853,19127,17631,11052,6932,8491,8909,7997,7483,6068,6305
"Georgia : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-GA-99.A",14613,13512,12583,13619,12206,12083,12033,11310,9400,9460,8884,9047
"Georgia : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-GA-99.A",1388,786,672,737,398,222,399,275,264,253,458,234
"Georgia : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-GA-99.A",374,272,259,329,178,132,132,122,117,0,0,0
"Georgia : natural gas","thousand mcf","ELEC.RECEIPTS.NG-GA-99.A",107306,156066,187494,208798,328446,289741,297620,363615,390148,378227,380482,434294
"Maryland",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Maryland : coal","thousand tons","ELEC.RECEIPTS.COW-MD-99.A",11167,10426,10543,9683,7025,6828,8262,6438,5583,3851,4637,2881
"Maryland : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MD-99.A",10909,10309,10120,9093,6617,6410,7772,6146,5523,3753,4595,2881
"Maryland : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MD-99.A",258,117,423,583,360,353,444,267,59,98,42,"--"
"Maryland : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MD-99.A",869,397,444,400,218,193,919,457,266,233,628,186
"Maryland : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MD-99.A",23742,20987,33206,28079,47231,22368,17912,37007,47562,46548,92375,96466
"North Carolina",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"North Carolina : coal","thousand tons","ELEC.RECEIPTS.COW-NC-99.A",31394,28787,26768,26540,19811,16296,17580,16129,12236,13214,11130,12803
"North Carolina : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NC-99.A",31394,28787,26768,26540,19811,16296,17580,16129,12236,13214,11130,12803
"North Carolina : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NC-99.A","NM",899,828,684,432,394,775,628,354,340,1130,243
"North Carolina : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NC-99.A","--","--","--","--","--","--","--",0,0,"--","--","--"
"North Carolina : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NC-99.A",36793,40384,75495,93618,150372,201751,205537,273890,292769,279167,331999,308738
"South Carolina",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"South Carolina : coal","thousand tons","ELEC.RECEIPTS.COW-SC-99.A",15919,17705,16268,14574,11606,9130,10947,11163,7971,6499,6077,7317
"South Carolina : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-SC-99.A",15919,17705,16268,14574,11606,9130,10947,11163,7971,6499,6077,7317
"South Carolina : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-SC-99.A",571,772,753,539,469,246,574,458,277,148,623,110
"South Carolina : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-SC-99.A",0,30,9,0,0,0,0,0,0,0,0,0
"South Carolina : natural gas","thousand mcf","ELEC.RECEIPTS.NG-SC-99.A",46973,74785,87881,101302,109809,88597,85032,131628,130416,131328,169867,178437
"Virginia",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Virginia : coal","thousand tons","ELEC.RECEIPTS.COW-VA-99.A",15511,13033,12025,11020,6528,9640,10260,7791,7861,5520,4705,2617
"Virginia : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-VA-99.A",15511,13033,12025,11020,6528,7889,10260,7791,7861,5520,4705,2617
"Virginia : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-VA-99.A","--","--","--","--","--","--","--","--","--",0,"--","--"
"Virginia : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-VA-99.A",2133,2481,1981,1566,455,436,2107,2159,1323,601,1439,247
"Virginia : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : natural gas","thousand mcf","ELEC.RECEIPTS.NG-VA-99.A",81380,100902,145536,151657,193993,177042,166359,254277,304679,320733,367368,419047
"West Virginia",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"West Virginia : coal","thousand tons","ELEC.RECEIPTS.COW-WV-99.A",38284,33441,31568,31740,31436,30621,32845,30657,29281,26906,25906,26712
"West Virginia : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-WV-99.A",34451,30963,30042,30378,30474,29651,31986,29799,28439,25936,24904,25784
"West Virginia : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-WV-99.A",2605,1488,790,488,47,0,0,0,0,0,0,0
"West Virginia : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-WV-99.A",264,310,258,330,257,296,290,215,238,182,299,248
"West Virginia : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-WV-99.A",2,"--",0,0,0,0,0,0,0,0,0,0
"West Virginia : natural gas","thousand mcf","ELEC.RECEIPTS.NG-WV-99.A",2849,2024,2607,3827,2362,2854,6841,13259,14508,18689,17306,23638
"East South Central",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"East South Central : coal","thousand tons","ELEC.RECEIPTS.COW-ESC-99.A",116508,100810,101719,97759,89288,85706,87900,76694,67605,59231,57134,55572
"East South Central : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-ESC-99.A",87027,74324,75729,69708,63264,59213,60791,50041,42237,35170,35182,33046
"East South Central : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-ESC-99.A",26156,22742,22379,25350,22959,23324,24484,23521,22316,21645,18960,19965
"East South Central : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-ESC-99.A",3018,3744,3612,2701,3065,3169,2625,3133,3053,2417,2993,2561
"East South Central : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-ESC-99.A",1668,2071,2062,1311,471,632,658,493,459,368,511,287
"East South Central : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-ESC-99.A",1070,1059,703,463,532,535,571,623,92,117,0,0
"East South Central : natural gas","thousand mcf","ELEC.RECEIPTS.NG-ESC-99.A",392067,475250,607804,682990,807339,624917,650914,843264,939721,886080,1007842,1019264
"Alabama",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Alabama : coal","thousand tons","ELEC.RECEIPTS.COW-AL-99.A",36613,29698,30146,27411,24639,22582,23312,20259,16261,15754,14648,15107
"Alabama : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-AL-99.A",23212,17390,18619,15096,12886,10670,11695,9503,6251,5564,5180,4270
"Alabama : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-AL-99.A",13402,12308,11528,12316,11753,11912,11616,10756,10009,10189,9469,10838
"Alabama : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-AL-99.A","--","--","--",0,"--","--","--","--","--","--","--","--"
"Alabama : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-AL-99.A",589,1336,1002,499,107,131,133,86,67,51,144,32
"Alabama : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-AL-99.A","--","--","--",0,"--","--","--","--","--","--","--","--"
"Alabama : natural gas","thousand mcf","ELEC.RECEIPTS.NG-AL-99.A",178936,250093,307854,368618,395377,319071,327708,376645,394076,364506,398878,399066
"Kentucky",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Kentucky : coal","thousand tons","ELEC.RECEIPTS.COW-KY-99.A",41399,41003,40771,41473,39483,39161,38741,40770,37275,31490,32038,29987
"Kentucky : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-KY-99.A",39126,39191,39206,38835,37224,36723,35653,31944,28826,23628,24704,22900
"Kentucky : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-KY-99.A",1967,1812,1565,2638,2259,2438,3088,8826,8450,7862,7333,7087
"Kentucky : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-KY-99.A",290,291,326,244,211,195,225,196,188,169,147,142
"Kentucky : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-KY-99.A",1070,1059,703,463,532,535,571,623,92,117,0,0
"Kentucky : natural gas","thousand mcf","ELEC.RECEIPTS.NG-KY-99.A",13629,12257,23592,20789,31026,14610,27678,54355,67374,81265,112670,113295
"Mississippi",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Mississippi : coal","thousand tons","ELEC.RECEIPTS.COW-MS-99.A",9730,8911,8611,6643,6590,5783,6195,5125,4442,3845,4600,4124
"Mississippi : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MS-99.A",5700,3886,3834,2955,3431,2572,2601,1281,712,710,366,379
"Mississippi : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MS-99.A",1012,1281,1165,987,94,42,968,712,677,718,1241,1184
"Mississippi : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MS-99.A",3018,3744,3612,2701,3065,3169,2625,3133,3053,2417,2993,2561
"Mississippi : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MS-99.A",253,56,158,111,22,41,24,47,26,15,37,23
"Mississippi : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MS-99.A",193463,207836,255651,261588,317211,250869,245694,332183,378393,346830,370210,363823
"Tennessee",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Tennessee : coal","thousand tons","ELEC.RECEIPTS.COW-TN-99.A",28765,21197,22192,22231,18576,18181,19652,10541,9627,8142,5848,6354
"Tennessee : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-TN-99.A",18990,13857,14070,12822,9723,9249,10841,7314,6448,5267,4932,5498
"Tennessee : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-TN-99.A",9775,7341,8121,9409,8853,8932,8811,3227,3179,2875,917,856
"Tennessee : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-TN-99.A",536,388,576,456,132,265,276,165,178,133,183,90
"Tennessee : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee : natural gas","thousand mcf","ELEC.RECEIPTS.NG-TN-99.A",6038,5064,20708,31994,63726,40366,49834,80081,99878,93479,126084,143079
"West South Central",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"West South Central : coal","thousand tons","ELEC.RECEIPTS.COW-WSC-99.A",157287,148426,154849,162157,152230,147020,150653,135422,110732,120958,98713,91089
"West South Central : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-WSC-99.A",867,"NM",558,1010,817,1043,751,988,855,834,940,444
"West South Central : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-WSC-99.A",114637,110826,109464,110636,104523,100219,104106,95093,70703,86557,72747,68772
"West South Central : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-WSC-99.A",41783,37053,44828,50511,46890,45758,45796,39340,39174,33567,25026,21873
"West South Central : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-WSC-99.A",997,939,545,452,293,284,471,342,287,231,188,230
"West South Central : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-WSC-99.A",1392,1863,1589,1772,1649,1926,1949,1732,1619,1885,1557,1142
"West South Central : natural gas","thousand mcf","ELEC.RECEIPTS.NG-WSC-99.A",2757580,2730689,2793250,3043534,2896365,2638753,2569357,2915238,2855252,2633752,3009544,3240210
"Arkansas",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Arkansas : coal","thousand tons","ELEC.RECEIPTS.COW-AR-99.A",15707,14507,17473,17631,16969,17641,18630,14779,12797,14285,16843,14098
"Arkansas : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-AR-99.A",173,120,153,133,0,0,56,84,62,67,78,61
"Arkansas : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-AR-99.A",15534,14387,17320,17497,16969,17641,18574,14695,12735,14218,16765,14038
"Arkansas : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-AR-99.A",147,209,81,91,74,63,33,98,74,81,48,75
"Arkansas : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-AR-99.A",0,0,0,0,0,0,0,0,0,0,0,0
"Arkansas : natural gas","thousand mcf","ELEC.RECEIPTS.NG-AR-99.A",73848,93434,106283,111262,128030,90794,72786,109604,133676,126300,150505,158293
"Louisiana",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Louisiana : coal","thousand tons","ELEC.RECEIPTS.COW-LA-99.A",15399,16933,14310,15775,15586,13990,12017,10896,6912,8029,7252,5843
"Louisiana : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-LA-99.A",21,"NM",0,465,338,541,206,305,268,285,517,334
"Louisiana : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-LA-99.A",11520,13273,10378,11453,11381,10733,9354,7139,3957,5844,5620,4308
"Louisiana : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-LA-99.A",3859,3659,3932,3858,3867,2715,2456,3452,2688,1899,1114,1200
"Louisiana : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-LA-99.A",634,402,240,116,50,64,211,94,54,6,27,37
"Louisiana : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-LA-99.A",895,1316,1340,1728,1178,1683,1949,1732,1619,1885,1557,1142
"Louisiana : natural gas","thousand mcf","ELEC.RECEIPTS.NG-LA-99.A",487810,469799,541709,567240,531471,470733,480607,540484,536078,535301,500434,558627
"Oklahoma",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Oklahoma : coal","thousand tons","ELEC.RECEIPTS.COW-OK-99.A",23213,21570,20148,19836,19605,17472,19018,18725,11073,10586,8774,4833
"Oklahoma : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-OK-99.A",673,427,405,413,479,502,489,599,525,482,345,50
"Oklahoma : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-OK-99.A",22540,21144,19742,19424,19126,16970,18530,18126,10547,10105,8429,4784
"Oklahoma : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-OK-99.A",35,48,21,"NM",14,13,27,4,29,18,30,35
"Oklahoma : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-OK-99.A",11,2,7,5,0,0,0,0,0,0,0,0
"Oklahoma : natural gas","thousand mcf","ELEC.RECEIPTS.NG-OK-99.A",290446,294383,297538,284687,313960,246794,207476,254326,276545,230111,318549,337151
"Texas",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Texas : coal","thousand tons","ELEC.RECEIPTS.COW-TX-99.A",102968,95415,102919,108916,100071,97917,100988,91021,79950,88058,65845,66315
"Texas : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-TX-99.A",0,"--",0,0,0,0,0,"--","--","--",0,0
"Texas : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-TX-99.A",65043,62022,62023,62262,57048,54874,57648,55133,43464,56391,41933,45642
"Texas : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-TX-99.A",37925,33393,40896,46653,43023,43043,43340,35888,36486,31668,23912,20673
"Texas : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-TX-99.A",180,280,203,229,156,144,200,146,129,126,82,83
"Texas : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-TX-99.A",486,546,242,38,471,243,0,0,0,0,0,0
"Texas : natural gas","thousand mcf","ELEC.RECEIPTS.NG-TX-99.A",1905476,1873073,1847719,2080345,1922904,1830431,1808489,2010824,1908954,1742040,2040056,2186139
"Mountain",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Mountain : coal","thousand tons","ELEC.RECEIPTS.COW-MTN-99.A",120272,116525,112772,113801,108207,107007,106386,105381,90812,89478,82404,80585
"Mountain : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MTN-99.A",40716,42627,35596,37078,30912,31635,33664,30270,27659,25601,21026,19875
"Mountain : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MTN-99.A",78513,"NM",76220,75740,76601,74650,71985,74450,62500,63250,60733,60052
"Mountain : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MTN-99.A",316,307,310,343,248,292,285,221,256,215,239,256
"Mountain : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MTN-99.A","NM","NM","NM",509,396,368,354,360,355,351,298,362
"Mountain : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MTN-99.A",239,260,233,274,251,0,0,0,0,0,0,0
"Mountain : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MTN-99.A",734036,721179,645586,578209,611904,597406,582191,670939,688171,622145,740594,828014
"Arizona",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Arizona : coal","thousand tons","ELEC.RECEIPTS.COW-AZ-99.A",23379,22190,22357,23218,23238,21589,22591,21535,15236,16406,16162,13396
"Arizona : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-AZ-99.A",8395,7638,7761,8390,7798,7903,8231,6779,6105,6518,6625,4025
"Arizona : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-AZ-99.A",14984,14552,14596,14829,15439,13686,14360,14756,9132,9888,9537,9371
"Arizona : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-AZ-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-AZ-99.A",109,90,112,120,77,97,84,104,108,89,94,124
"Arizona : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-AZ-99.A",0,0,0,0,"--","--","--","--","--","--","--","--"
